ACANTHOPLEURIBACTERALES	Acanthopleuribacterales
ACAROSPORINEAE	Acarosporales
ACHOLEPLASMATALES	Acholeplasmatales
ACIDILOBALES	Acidilobales
CALDISPHAERALES	Acidilobales
ACIDIMICROBIALES	Acidimicrobiales
ACIDITHIOBACILLALES	Acidithiobacillales
ACIDOBACTERIALES	Acidobacteriales
ACOCHLIDIA	Acochlidiacea
ALLOEOCOELA	Acoela
ALLOIOCOELA	Acoela
ACRASEA	Acrasida
ACRASIA	Acrasida
ACRASIOMYCETES	Acrasida
ACRASIOMYCOTA	Acrasida
CODIOLALES	Acrosiphoniales
ACTINOMYCETALES	Actinomycetales
AEROMONADACEAE	Aeromonadales
AEROMONADALES	Aeromonadales
APHYLLOPHORALES	Agaricales
CORTINARIALES	Agaricales
HYMENOGASTRALES	Agaricales
LYCOPERDALES	Agaricales
MELANOGASTRALES	Agaricales
NIDULARIALES	Agaricales
POLYPORALES	Agaricales
TULOSTOMATALES	Agaricales
CERATOPORELLIDA	Agelasida
AGYRIINEAE	Agyriales
AKENTROGONIDAE	Akentrogonida
GORGONACEA	Alcyonacea
SEA FANS	Alcyonacea
ALISMATIFLORAE	Alismatales
ARALES	Alismatales
ARIFLORAE	Alismatales
NAJADALES	Alismatales
SPATHIFLORAE	Alismatales
ZOSTERALES	Alismatales
ALTEROMONADACEAE GROUP	Alteromonadales
ALTEROMONADALES	Alteromonadales
AMBLYPIGI	Amblypygi
AMBLYPYGIDA	Amblypygi
AMIOIDEI	Amiiformes
GLOTTOPTYCHINITES	Ammonoidea
ANAEROLINAELES	Anaerolineales
ANAEROLINEALES	Anaerolineales
ANAEROPLASMATALES	Anaeroplasmatales
APODES	Anguilliformes
ANTHOATHECATAE	Anthoathecata
ANTHOMEDUSAE	Anthoathecata
ATHECATA	Anthoathecata
GYMNOBLASTEA	Anthoathecata
LAINGIOMEDUSAE	Anthoathecata
ANTHOMEDUSAE	Anthoathecatae
ATHECATAE	Anthoathecatae
STYLASTERINA	Anthoathecatae
RANA CORDOFANA	Anura
SALIENTIA	Anura
APHARAGMOPHORA	Aphragmophora
CTINODONTINA	Aphragmophora
FLABELLODONTINA	Aphragmophora
ARALIALES	Apiales
APODA	Apodida
APODEDA	Apodida
APODI	Apodiformes
TROCHILI	Apodiformes
TROCHILIFORMES	Apodiformes
APORHYNCHIDA	Apororhynchida
APOSTOMATIDA	Apostomatida
AQUIFECALES	Aquificales
AQUIFICALES	Aquificales
HYDROGENIC OXYGEN REDUCING	Aquificales
OBLIGATELY CHEMOLITHOTROPHIC HYDROGEN	Aquificales
OLIGATELY CHEMOLITHOTROPHIC HYDROGEN	Aquificales
OXYGEN REDUCING BACTERIA	Aquificales
OXYGEN REDUCING BACTERIA	Aquificales
ARAEOLAIMINA	Araeolaimida
