title,name,description,type,format,comments,examples,namespace,iri,constraints
Relationship,relationshipID,An identifier for a Relationship between two entities.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/resourceRelationshipID,"{'required': True, 'unique': True}"
Relationship,subjectResourceID,An identifier for the resource that is the subject of a Relationship.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/resourceID,
Relationship,subjectResourceType,The category that best matches the nature of a subject resource.,string,default,Recommended best practice is to use a controlled vocabulary consisting of the classes of resources that can be related to each other.,`Agent`; `AgentRole`; `Assertion`; `ChronometricAge`; `Citation`; `Collection`; `Event`; `GeneticSequence`; `GeologicalContext`; `Identification`; `Identifier``; `Inventory`; `Material`; `Media`; `Occurrence`; `OrganismInteraction`; `PhylogeneticTree`; `Taxon`; `TaxonDistribution`,gum,,
Relationship,subjectResourceTypeIRI,The IRI of the controlled vocabulary value for the type of subject resource.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
Relationship,subjectResourceTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for subjectResourceType are given.,string,default,,,gum,,
Relationship,relationshipType,The relationship of the subject resource (identified by subjectresourceID) to the related resource (identified by relatedResourceID).,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipOfResource,
Relationship,relationshipTypeIRI,The IRI of the controlled vocabulary value for the type of Relationship.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
Relationship,relationshipTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for relationshipType are given.,string,default,,,gum,,
Relationship,relatedResourceID,An identifier for the resource that is the object of the Relationship.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/relatedResourceID,
Relationship,relatedResourceType,The category that best matches the nature of a related resource.,string,default,Recommended best practice is to use a controlled vocabulary consisting of the classes of resources that can be related to each other.,`Agent`; `AgentRole`; `Assertion`; `ChronometricAge`; `Citation`; `Collection`; `Event`; `GeneticSequence`; `GeologicalContext`; `Identification`; `Identifier``; `Inventory`; `Material`; `Media`; `Occurrence`; `OrganismInteraction`; `PhylogeneticTree`; `Taxon`; `TaxonDistribution`,gum,,
Relationship,relatedResourceTypeIRI,The IRI of the controlled vocabulary value for the type of related resource.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
Relationship,relatedResourceTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for relatedResourceType are given.,string,default,,,gum,,
Relationship,relationshipOrder,The numerical position of a Relationship in a set of Relationships that have the same combination of subjectResourceID and relationshipType.,integer,default,"One could use relationshipOrder to create an ordered list of authors for a Citation, for example. The first would have relationshipOrder=1, the second would have relationshipOrder=2.",`1`; `2`; `3`,gum,,"{'required': False, 'minimum': 1}"
Relationship,relationshipEffectiveDate,The date on which the Relationship was established.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`14:07-0600` (2:07pm in the time zone six hours earlier than UTC); `08:40:21Z` (8:40:21am UTC); `13:00:00Z/15:30:00Z` (the interval between 1pm UTC and 3:30pm UTC),dwc,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,
Relationship,relationshipRemarks,Comments or notes about a Relationship.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipRemarks,
SurveyTarget,surveyTargetID,An identifier for a SurveyTarget.,string,default,,,gum,,"{'required': True, 'unique': True}"
SurveyTarget,surveyID,An identifier for a dwc:Event that is an biotic survey.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/eventID,
SurveyTarget,surveyTargetType,The type of scope the SurveyTarget describes.,string,default,Recommended best practice is to use a controlled vocabulary.,`taxon`; `habitat`; `establishmentMeans`; `growthForm`; `sex`; `lifeStage`,gum,,
SurveyTarget,surveyTargetTypeIRI,The IRI of the controlled vocabulary value for the surveyTargetType.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
SurveyTarget,surveyTargetTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for surveyTargetType are given.,string,default,,,gum,,
SurveyTarget,surveyTargetValue,The value of a characteristic sought for the surveyTarget for a given surveyTargetType.,string,default,Recommended best practice is to use a controlled vocabulary.,`Aves`; `oak savannah`; `native`; `tree`; `female`; `adult`; `height`; `weight`,gum,,
SurveyTarget,surveyTargetValueIRI,The IRI for the value of the surveyTargetValue,string,default,,,gum,,
SurveyTarget,surveyTargetValueVocabulary,The reference to the controlled vocabulary where the definitions of values for surveyTargetValue are given.,string,default,,,gum,,
SurveyTarget,surveyTargetUnit,The units associated with the surveyTargetValue.,string,default,Recommended best practice is to use a controlled vocabulary.,`m`; `g`; `years`,gum,,
SurveyTarget,surveyTargetUnitIRI,The IRI for the units of the surveyTargetValue,string,default,,,gum,,
SurveyTarget,surveyTargetUnitVocabulary,The reference to the controlled vocabulary where the definitions of values for surveyTargetUnit are given.,string,default,,,gum,,
SurveyTarget,includeOrExclude,A term to declare whether the instance of the SurveyTarget is an included scope or an excluded scope. Combinations of SurveyTarget records of inclusions and exclusions can define complex scopes such as all 'Aves' except 'Passeriformes'.,string,default,Recommended best practice is use a controlled vocabulary consisting of 'include' and 'exclude' only.,`include`; `exclude`,gum,,
