group,iri,type,thesaurus,description,comments,examples,required
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeID,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeProtocol,,,,,,TRUE
ChronometricAge,http://rs.tdwg.org/chrono/terms/uncalibratedChronometricAge,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeConversionProtocol,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/earliestChronometricAge,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/latestChronometricAge,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyMethod,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/materialDated,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/materialDatedID,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/materialDatedRelationship,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedBy,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedDate,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeReferences,,,,,,
ChronometricAge,http://rs.tdwg.org/chrono/terms/chronometricAgeRemarks,,,,,,
